name; category
Ambition; motivation
Perseverence;motivation
Implication;motivation
Gout pour le travail;controle emotionnel
Anticipation;controle emotionnel
Resistence à la pression;controle emotionnel
Stabilite;controle emotionnel
Optimisme;controle emotionnel
Prendre des risques;leadership
Convaincre;leadership
Force de proposition;leadership
Autonomie;leadership
Reactivite;leadership
Organisation / Rigueur;leadership
Leadership;leadership
Diplomatie;leadership
Sens du contact;sociabilite
Sens de l'ecoute;sociabilite
Communication (ecrite+oral);sociabilite
Travail en equipe;sociabilite
Adaptabilite;sociabilite
Sens du service;sociabilite
Accepte les critiques;sociabilite
Empathie; sociabilite